AuthorCourse,AuthorID,Cluster,PercMGS,Subject,SubjectNew,ClassSize,CourseLevel,TrtType,TrtIntensity,Treatment,MGSgroup,MGS,Pass,DFW,TotStuTypePerSection,PercPass
9,9,60,0.282352941,Biology,Biology,Large,Intro,Flipped,High,Active,URM,1,34,14,48,0.708333333
9,9,61,0.278481013,Biology,Biology,Large,Intro,Flipped,High,Active,NonURM,0,50,7,57,0.877192982
9,9,61,0.278481013,Biology,Biology,Large,Intro,Flipped,High,Active,URM,1,16,6,22,0.727272727
9,9,62,0.363636364,Biology,Biology,Large,Intro,Flipped,High,Active,NonURM,0,46,17,63,0.73015873
9,9,62,0.363636364,Biology,Biology,Large,Intro,Flipped,High,Active,URM,1,16,20,36,0.444444444
9,9,63,0.288659794,Biology,Biology,Large,Intro,Passive,Passive,Passive,NonURM,0,93,45,138,0.673913043
9,9,63,0.288659794,Biology,Biology,Large,Intro,Passive,Passive,Passive,URM,1,14,42,56,0.25
9,9,64,0.328125,Biology,Biology,Large,Intro,Passive,Passive,Passive,NonURM,0,83,46,129,0.643410853
9,9,64,0.328125,Biology,Biology,Large,Intro,Passive,Passive,Passive,URM,1,16,47,63,0.253968254
10,10,65,0.555555556,Mathematics,Mathematics,Small,Intro,CollaborativeGroups,Unknown,Active,NonURM,0,8,8,16,0.5
10,10,65,0.555555556,Mathematics,Mathematics,Small,Intro,CollaborativeGroups,Unknown,Active,URM,1,9,11,20,0.45
10,10,66,0.588235294,Mathematics,Mathematics,Small,Intro,Passive,Passive,Passive,NonURM,0,7,7,14,0.5
10,10,66,0.588235294,Mathematics,Mathematics,Small,Intro,Passive,Passive,Passive,URM,1,8,12,20,0.4
11,11,70,0.370892019,Chemistry,Chemistry,Large,Upper,Flipped,High,Active,NonURM,0,121,13,134,0.902985075
11,11,70,0.370892019,Chemistry,Chemistry,Large,Upper,Flipped,High,Active,URM,1,66,13,79,0.835443038
11,11,71,0.218579235,Chemistry,Chemistry,Large,Upper,Passive,Passive,Passive,NonURM,0,119,24,143,0.832167832
11,11,71,0.218579235,Chemistry,Chemistry,Large,Upper,Passive,Passive,Passive,URM,1,27,13,40,0.675
12,12,80,0.349112426,Biology,Biology,Large,Intro,Passive,Passive,Passive,nonURM,0,176,45,221,0.8
12,12,80,0.349112426,Biology,Biology,Large,Intro,Passive,Passive,Passive,URM,1,63,55,118,0.533898305
12,12,81,0.273273273,Biology,Biology,Large,Intro,Passive,Passive,Passive,nonURM,0,191,51,242,0.789256198
12,12,81,0.273273273,Biology,Biology,Large,Intro,Passive,Passive,Passive,URM,1,47,44,91,0.516483516
12,12,82,0.323442136,Biology,Biology,Large,Intro,Passive,Passive,Passive,nonURM,0,201,28,229,0.881578947
12,12,82,0.323442136,Biology,Biology,Large,Intro,Passive,Passive,Passive,URM,1,64,45,109,0.587155963
12,12,83,0.267955801,Biology,Biology,Large,Intro,Combination,High,Active,nonURM,0,232,33,265,0.875471698
12,12,83,0.267955801,Biology,Biology,Large,Intro,Combination,High,Active,URM,1,49,51,100,0.505154639
12,12,84,0.263546798,Biology,Biology,Large,Intro,Combination,High,Active,nonURM,0,268,31,299,0.89632107
12,12,84,0.263546798,Biology,Biology,Large,Intro,Combination,High,Active,URM,1,81,26,107,0.757009346
12,12,85,0.242268041,Biology,Biology,Large,Intro,Combination,High,Active,nonURM,0,268,26,294,0.911564626
12,12,85,0.242268041,Biology,Biology,Large,Intro,Combination,High,Active,URM,1,73,21,94,0.776595745
13,13,90,0.910569106,Biology,Biology,Large,Intro,Passive,Passive,Passive,nonURM,0,8,3,11,0.727272727
13,13,90,0.910569106,Biology,Biology,Large,Intro,Passive,Passive,Passive,URM,1,89,23,112,0.794642857
13,13,91,0.905660377,Biology,Biology,Medium,Intro,Flipped,High,Active,nonURM,0,17,3,20,0.85
13,13,91,0.905660377,Biology,Biology,Medium,Intro,Flipped,High,Active,URM,1,156,36,192,0.8125
14,14,100,0.142857143,Chemistry,Chemistry,Medium,Upper,Combination,Unknown,Active,NonURM,0,46,2,48,0.958333333
14,14,100,0.142857143,Chemistry,Chemistry,Medium,Upper,Combination,Unknown,Active,URM,1,8,0,8,1
14,14,101,0.145833333,Chemistry,Chemistry,Medium,Upper,Combination,Unknown,Active,NonURM,0,39,2,41,0.951219512
14,14,101,0.145833333,Chemistry,Chemistry,Medium,Upper,Combination,Unknown,Active,URM,1,6,1,7,0.857142857
14,14,102,0.15,Chemistry,Chemistry,Medium,Upper,Passive,Passive,Passive,NonURM,0,48,3,51,0.941176471
14,14,102,0.15,Chemistry,Chemistry,Medium,Upper,Passive,Passive,Passive,URM,1,8,1,9,0.888888889
14,14,103,0.207317073,Chemistry,Chemistry,Medium,Upper,Passive,Passive,Passive,NonURM,0,61,4,65,0.938461538
14,14,103,0.207317073,Chemistry,Chemistry,Medium,Upper,Passive,Passive,Passive,URM,1,16,1,17,0.941176471
14,14,104,0.144927536,Chemistry,Chemistry,Medium,Upper,Passive,Passive,Passive,NonURM,0,58,1,59,0.983050847
14,14,104,0.144927536,Chemistry,Chemistry,Medium,Upper,Passive,Passive,Passive,URM,1,10,0,10,1
15,15,110,0.689948893,Mathematics,Mathematics,Small,Intro,CollaborativeGroups,High,Active,NonURM,0,124,58,182,0.681318681
15,15,110,0.689948893,Mathematics,Mathematics,Small,Intro,CollaborativeGroups,High,Active,URM,1,240,165,405,0.592592593
15,15,111,0.704819277,Mathematics,Mathematics,Small,Intro,Passive,Passive,Passive,NonURM,0,29,20,49,0.591836735
15,15,111,0.704819277,Mathematics,Mathematics,Small,Intro,Passive,Passive,Passive,URM,1,62,55,117,0.52991453
15,15,120,0.151785714,Biology,Biology,Large,Intro,Flipped,High,Active,LowSES,1,44,7,51,0.862745098
15,15,120,0.151785714,Biology,Biology,Large,Intro,Flipped,High,Active,NonLowSES,0,267,18,285,0.936842105
15,15,121,0.15797546,Biology,Biology,Large,Intro,Flipped,High,Active,LowSES,1,88,15,103,0.854368932
15,15,121,0.15797546,Biology,Biology,Large,Intro,Flipped,High,Active,NonLowSES,0,524,25,549,0.954462659
15,15,122,0.226708075,Biology,Biology,Large,Intro,Passive,Passive,Passive,LowSES,1,50,23,73,0.684931507
15,15,122,0.226708075,Biology,Biology,Large,Intro,Passive,Passive,Passive,NonLowSES,0,213,36,249,0.855421687
15,15,123,0.239520958,Biology,Biology,Large,Intro,Passive,Passive,Passive,LowSES,1,56,24,80,0.7
15,15,123,0.239520958,Biology,Biology,Large,Intro,Passive,Passive,Passive,NonLowSES,0,226,28,254,0.88976378
16,16,130,0.635658915,Mathematics,Mathematics,Small,Intro,Flipped,High,Active,NonURM,0,33,14,47,0.70212766
16,16,130,0.635658915,Mathematics,Mathematics,Small,Intro,Flipped,High,Active,URM,1,53,29,82,0.646341463
16,16,131,0.650306748,Mathematics,Mathematics,Small,Intro,Passive,Passive,Passive,NonURM,0,101,70,171,0.590643275
16,16,131,0.650306748,Mathematics,Mathematics,Small,Intro,Passive,Passive,Passive,URM,1,179,139,318,0.562893082
17a,17,3000,0.08333333,Chemistry,Chemistry,Small,Intro,Passive,Passive,Passive,NonURM,0,10,1,11,0.909090909
17a,17,3000,0.08333333,Chemistry,Chemistry,Small,Intro,Passive,Passive,Passive,URM,1,1,0,1,1
17a,17,3001,0.12,Chemistry,Chemistry,Small,Intro,Passive,Passive,Passive,NonURM,0,14,8,22,0.636363636
17a,17,3001,0.12,Chemistry,Chemistry,Small,Intro,Passive,Passive,Passive,URM,1,1,2,3,0.333333333
17a,17,3002,0.17647059,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,NonURM,0,48,22,70,0.685714286
17a,17,3002,0.17647059,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,URM,1,10,5,15,0.666666667
17a,17,3003,0.26666667,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,NonURM,0,14,8,22,0.636363636
17a,17,3003,0.26666667,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,URM,1,6,2,8,0.75
17a,17,3004,0.21212121,Chemistry,Chemistry,Medium,Intro,PLTL,Low,Active,NonURM,0,20,6,26,0.769230769
17a,17,3004,0.21212121,Chemistry,Chemistry,Medium,Intro,PLTL,Low,Active,URM,1,6,1,7,0.857142857
17a,17,3005,0.22413793,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,NonURM,0,29,16,45,0.644444444
17a,17,3005,0.22413793,Chemistry,Chemistry,Large,Intro,Passive,Passive,Passive,URM,1,6,7,13,0.461538462
17a,17,3006,0.39285714,Chemistry,Chemistry,Large,Intro,PLTL,Low,Active,NonURM,0,24,10,34,0.705882353
17a,17,3006,0.39285714,Chemistry,Chemistry,Large,Intro,PLTL,Low,Active,URM,1,18,4,22,0.818181818
17a,17,3007,0.28205128,Chemistry,Chemistry,Large,Intro,PLTL,Low,Active,NonURM,0,69,15,84,0.821428571
17a,17,3007,0.28205128,Chemistry,Chemistry,Large,Intro,PLTL,Low,Active,URM,1,28,5,33,0.848484848
17a,17,3008,0.1559633,Chemistry,Chemistry,Medium,Intro,PLTL,Low,Active,NonURM,0,70,22,92,0.760869565
17a,17,3008,0.1559633,Chemistry,Chemistry,Medium,Intro,PLTL,Low,Active,URM,1,13,4,17,0.764705882
17a,17,3009,0.12727273,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,NonURM,0,64,32,96,0.666666667
17a,17,3009,0.12727273,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,URM,1,10,4,14,0.714285714
17a,17,3010,0.13333333,Chemistry,Chemistry,Small,Intro,Passive,Passive,Passive,NonURM,0,8,5,13,0.615384615
17a,17,3010,0.13333333,Chemistry,Chemistry,Small,Intro,Passive,Passive,Passive,URM,1,1,1,2,0.5
17a,17,3011,0.24137931,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,NonURM,0,25,19,44,0.568181818
17a,17,3011,0.24137931,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,URM,1,9,5,14,0.642857143
17a,17,3012,0.26785714,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,NonURM,0,26,15,41,0.634146341
17a,17,3012,0.26785714,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,URM,1,10,5,15,0.666666667
17a,17,3013,0.17741935,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,NonURM,0,32,19,51,0.62745098
17a,17,3013,0.17741935,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,URM,1,6,5,11,0.545454545
17a,17,3014,0.20833333,Chemistry,Chemistry,Small,Intro,Passive,Passive,Passive,NonURM,0,25,13,38,0.657894737
17a,17,3014,0.20833333,Chemistry,Chemistry,Small,Intro,Passive,Passive,Passive,URM,1,5,5,10,0.5
17a,17,3015,0.2,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,NonURM,0,30,14,44,0.681818182
17a,17,3015,0.2,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,URM,1,6,5,11,0.545454545
17a,17,3016,0.27777778,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,NonURM,0,23,16,39,0.58974359
17a,17,3016,0.27777778,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,URM,1,7,8,15,0.466666667
17a,17,3017,0.25714286,Chemistry,Chemistry,Small,Intro,PLTL,Low,Active,NonURM,0,23,3,26,0.884615385
17a,17,3017,0.25714286,Chemistry,Chemistry,Small,Intro,PLTL,Low,Active,URM,1,4,5,9,0.444444444
17a,17,3018,0.24324324,Chemistry,Chemistry,Small,Intro,PLTL,Low,Active,NonURM,0,21,7,28,0.75
17a,17,3018,0.24324324,Chemistry,Chemistry,Small,Intro,PLTL,Low,Active,URM,1,4,5,9,0.444444444
17a,17,3019,0.22641509,Chemistry,Chemistry,Medium,Intro,PLTL,Low,Active,NonURM,0,37,4,41,0.902439024
17a,17,3019,0.22641509,Chemistry,Chemistry,Medium,Intro,PLTL,Low,Active,URM,1,7,5,12,0.583333333
17a,17,3020,0.08695652,Chemistry,Chemistry,Small,Intro,PLTL,Low,Active,NonURM,0,34,8,42,0.80952381
17a,17,3020,0.08695652,Chemistry,Chemistry,Small,Intro,PLTL,Low,Active,URM,1,4,0,4,1
17a,17,3021,0.25,Chemistry,Chemistry,Small,Intro,PLTL,Low,Active,NonURM,0,11,1,12,0.916666667
17a,17,3021,0.25,Chemistry,Chemistry,Small,Intro,PLTL,Low,Active,URM,1,3,1,4,0.75
17a,17,3022,0.23529412,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,NonURM,0,22,17,39,0.564102564
17a,17,3022,0.23529412,Chemistry,Chemistry,Medium,Intro,Passive,Passive,Passive,URM,1,7,5,12,0.583333333
